year,round,#,from,description,team
2030,1,-,Own,"SAS will receive the most favorable of its 2030 1st round pick, DAL' 2030 1st round pick and MIN's 2030 1st round pick protected for selection 1; DAL will receive the less favorable of its pick and the SAS pick; MIN will receive the less favorable of (1) its pick and (2) the more favorable of the SAS pick and the DAL pick; if the MIN pick falls on its protected selection, then MIN's commitment to SAS will be lifted and SAS will instead have the right to swap its pick for the DAL pick (via SAS's right to swap for DAL; via SAS's right to swap SAS or DAL for MIN)",DAL
2031,1,-,Own,,DAL
2026,1,-,Own,,DEN
2028,1,-,Own,,DEN
2030,1,-,Own,,DEN
2031,1,-,Own,,DEN
2025,2,-,Own,"BOS will receive the most / more favorable of GSW's 2025 2nd round pick, WAS's 2025 2nd round pick, DET's 2025 2nd round pick protected for selections 56-59, and DAL' 2025 2nd round pick; UTA will receive the less favorable of (1) the DAL pick and (2) the most / more favorable of the DET pick if conveyable, the GSW pick or the WAS pick; WAS will receive the less favorable of its pick and the GSW pick, and the less favorable of (1) the more favorable of the two and (2) the DET pick if conveyable or WAS will receive neither (1) nor (2) if the DET pick is not conveyable (via DET to LAC to POR to DET; via DET's right to swap GSW for WAS (via BKN); via BOS's right to swap DET, GSW or WAS for DAL; via DAL to UTA; via DET to WAS)",DET
2025,2,-,via TOR,No protections,DET
2026,1,-,Own,,DET
2027,1,-,Own,,DET
2027,2,-,via MIL,No protections,DET
2027,2,-,Own,,DET
2027,2,-,via BKN or DAL,No protections,DET
2028,1,-,Own,,DET
2028,2,-,via CHA or LAC,No protections,DET
2028,2,-,via MIA,No protections,DET
2028,2,-,via NYK,No protections,DET
2029,1,-,Own,,DET
2029,2,-,via NYK,No protections,DET
2029,2,-,Own,,DET
2029,2,-,via MIL,No protections,DET
2030,1,-,Own,,DET
2030,2,-,Own,,DET
2030,2,-,via MIN,No protections,DET
2031,1,-,Own,,DET
2031,2,-,Own,,DET
2031,2,-,via DAL,No protections,DET
2025,2,-,via MIA,Protected 31-37,GSW
2025,2,-,Own,"BOS will receive the most / more favorable of GSW's 2025 2nd round pick, WAS's 2025 2nd round pick, DET's 2025 2nd round pick protected for selections 56-59, and DAL' 2025 2nd round pick; UTA will receive the less favorable of (1) the DAL pick and (2) the most / more favorable of the DET pick if conveyable, the GSW pick or the WAS pick; WAS will receive the less favorable of its pick and the GSW pick, and the less favorable of (1) the more favorable of the two and (2) the DET pick if conveyable or WAS will receive neither (1) nor (2) if the DET pick is not conveyable (via DET to LAC to POR to DET; via DET's right to swap GSW for WAS (via BKN); via BOS's right to swap DET, GSW or WAS for DAL; via DAL to UTA; via DET to WAS)",GSW
2026,1,-,Own,,GSW
2027,1,-,Own,,GSW
2028,1,-,Own,,GSW
2029,1,-,Own,,GSW
2030,2,-,Own,,GSW
2031,1,-,Own,,GSW
2031,2,-,Own,MIN has the right to swap its 2031 2nd round pick for GSW's 2031 2nd round pick,GSW
2025,1,-,OKC or PHX swap rights,"OKC has the right to swap its 2025 1st round pick for HOU's 2025 1st round pick protected for selections 1-10 or the LAC' 2025 1st round pick; HOU then has the right to swap its pick or the OKC pick to BKN for PHX's 2025 1st round pick; if the HOU pick falls within its protected range, then HOU's commitment to OKC will be lifted and HOU will instead have the right to swap its pick to BKN for the PHX pick",HOU
2025,2,-,Own,No protections,HOU
2026,2,-,"LAC, BOS, IND or MIA swap rights","MEM will receive the more favorable of (1) the LAC' 2026 2nd round pick and (2) the most favorable of BOS's 2026 2nd round pick, IND's 2026 2nd round pick and MIA's 2026 2nd round pick and HOU will receive the less favorable of (1) and (2) (via MIA to IND; via MIL to MEM; via MEM' right to swap IND or MIA for BOS; via MEM' right to swap BOS, IND or MIA for LAC)",HOU
2026,2,-,"via OKC, DAL or PHI",No protections,HOU
2027,1,-,BKN swap rights,HOU has the right to swap its 2027 1st round pick for BKN's 2027 1st round pick,HOU
2027,1,-,via PHX,No protections,HOU
2027,2,-,via MEM,No protections,HOU
2028,1,-,Own,,HOU
2029,1,-,DAL and / or PHX swap rights,"HOU will receive the two most favorable of its 2029 1st round pick, DAL' 2029 1st round pick and PHX's 2029 1st round pick and BKN will receive the least favorable of the three (via DAL and PHX to BKN; via DAL or PHX to HOU; via HOU's right to swap for DAL or PHX)",HOU
2030,1,-,Own,,HOU
2030,2,-,via BOS,No protections,HOU
2031,1,-,Own,,HOU
2031,2,-,Own,,HOU
2025,1,-,Own,,IND
2025,2,-,via MIA,Protected 38-59,IND
2025,2,-,via CHA,Protected 31-55,IND
2025,2,-,Own,,IND
2026,2,-,Own,MEM will receive the more favorable of (1) BOS's 2026 2nd round pick and (2) the more favorable of IND's 2026 2nd round pick and MIA's 2026 2nd round pick and BOS will receive the less favorable of (1) and (2); SAS will receive the more favorable of (1) its 2026 2nd round pick and (2) the less favorable of the IND pick and the MIA pick and MIN will receive the less favorable of (1) and (2); MEM may convey the pick it receives to HOU and instead receive LAC if more favorable (see MEM incoming) (via MIA to IND; via MIL to MEM; via MEM' right to swap IND or MIA for BOS; via SAS's right to swap for IND or MIA; via IND to MIN),IND
2027,1,-,Own,,IND
2027,2,-,via UTA,No protections,IND
2028,1,-,Own,,IND
2028,2,-,via DAL,No protections,IND
2028,2,-,PHX swap rights,No protections,IND
2029,1,-,Own,,IND
2029,2,-,via POR,No protections,IND
2029,2,-,WAS swap rights,No protections,IND
2030,1,-,Own,,IND
2030,2,-,Own,,IND
2030,2,-,via SAC,No protections,IND
2031,1,-,Own,,IND
2031,2,-,Own,MIA has the right to swap its 2031 2nd round pick for IND's 2031 2nd round pick,IND
2025,1,-,Own,"OKC has the right to swap its 2025 1st round pick for HOU's 2025 1st round pick protected for selections 1-10 or the LAC' 2025 1st round pick; HOU then has the right to swap its pick or the OKC pick to BKN for PHX's 2025 1st round pick; if the HOU pick falls within its protected range, then HOU's commitment to OKC will be lifted and HOU will instead have the right to swap its pick to BKN for the PHX pick",LAC
2026,2,-,Own,"MEM will receive the more favorable of (1) the LAC' 2026 2nd round pick and (2) the most favorable of BOS's 2026 2nd round pick, IND's 2026 2nd round pick and MIA's 2026 2nd round pick and HOU will receive the less favorable of (1) and (2) (via MIA to IND; via MIL to MEM; via MEM' right to swap IND or MIA for BOS; via MEM' right to swap BOS, IND or MIA for LAC)",LAC
2027,1,-,Own,"OKC has the right to swap its 2027 1st round pick or, if conveyed to OKC, DEN's 2027 1st round pick, which would be protected for selections 1-5 and otherwise conveyable to OKC if DEN conveys a 1st round pick to ORL in 2025, for the LAC' 2027 1st round pick",LAC
2029,1,-,Own,"PHI has the right to swap its 2029 1st round pick for the LAC' 2029 1st round pick protected for selections 1-3 (if this pick falls within its protected range and is therefore not conveyable, then the LAC' commitment to PHI will be lifted)",LAC
2030,1,-,Own,,LAC
2031,1,-,Own,,LAC
2031,2,-,Own,,LAC
2025,2,-,Own,,LAL
2026,1,-,Own,,LAL
2028,1,-,Own,,LAL
2030,1,-,Own,CHA has the right to swap its 2030 1st round pick for the LAL' 2030 1st round pick,LAL
2025,1,-,Own,,MEM
2025,2,-,via HOU or OKC,No protections,MEM
2026,1,-,"PHX, WAS or ORL swap rights","WAS has the right to swap its 2026 1st round pick, protected for selections 9-30 if WAS does not convey a 1st round pick to NYK in 2025, for PHX's 2026 1st round pick; ORL then has the right to swap its 2026 1st round pick for the less favorable of the PHX pick and the WAS pick if conveyable; MEM then has the right to swap its 2026 1st round pick for the least / less favorable of the PHX pick, the WAS pick if conveyable and the ORL pick; if the WAS pick is not conveyable, then the commitment to WAS will be lifted and ORL will instead have the right to swap its pick for the PHX pick",MEM
2026,2,-,LAC swap rights,"MEM will receive the more favorable of (1) the LAC' 2026 2nd round pick and (2) the most favorable of BOS's 2026 2nd round pick, IND's 2026 2nd round pick and MIA's 2026 2nd round pick and HOU will receive the less favorable of (1) and (2) (via MIA to IND; via MIL to MEM; via MEM' right to swap IND or MIA for BOS; via MEM' right to swap BOS, IND or MIA for LAC)",MEM
2027,1,-,Own,,MEM
2027,2,-,via ATL,No protections,MEM
2028,1,-,Own,,MEM
2029,1,-,Own,,MEM
2030,1,-,PHX or WAS swap rights,WAS has the right to swap its 2030 1st round pick for PHX's 2030 1st round pick; MEM then has the right to swap its 2030 1st round pick for the less favorable of the PHX pick and the WAS pick,MEM
2031,1,-,Own,,MEM
2031,2,-,Own,,MEM
2025,1,-,via GSW,Protected 1-10,MIA
2026,1,-,Own,,MIA
2026,2,-,Own,MEM will receive the more favorable of (1) BOS's 2026 2nd round pick and (2) the more favorable of IND's 2026 2nd round pick and MIA's 2026 2nd round pick and BOS will receive the less favorable of (1) and (2); SAS will receive the more favorable of (1) its 2026 2nd round pick and (2) the less favorable of the IND pick and the MIA pick and MIN will receive the less favorable of (1) and (2); MEM may convey the pick it receives to HOU and instead receive LAC if more favorable (see MEM incoming) (via MIA to IND; via MIL to MEM; via MEM' right to swap IND or MIA for BOS; via SAS's right to swap for IND or MIA; via IND to MIN),MIA
2026,2,-,via LAL,No protections,MIA
2027,2,-,Own,No protections,MIA
2028,1,-,Own,,MIA
2029,1,-,Own,,MIA
2030,1,-,Own,,MIA
2031,1,-,Own,,MIA
2031,2,-,IND swap rights,MIA has the right to swap its 2031 2nd round pick for IND's 2031 2nd round pick,MIA
2026,1,-,Own,NOP has the right to swap its 2026 1st round pick for MIL's 2026 1st round pick,MIL
2027,1,-,Own,"NOP will receive the more favorable of its 2027 1st round pick and MIL's 2027 1st round pick and ATL will receive the less favorable of the two protected for selections 1-4; if this pick falls within its protected range and is therefore not conveyable, then NOP' commitment to ATL will be lifted and NOP will instead receive both picks (via NOP)",MIL
2028,1,-,Own,"POR has the right to swap its 2028 1st round pick, protected for selections 15-30 if POR has not conveyed a 1st round pick to CHI by 2027, for MIL's 2028 1st round pick",MIL
2030,1,-,Own,POR has the right to swap its 2030 1st round pick for MIL's 2030 1st round pick,MIL
2031,1,-,Own,,MIL
2031,2,-,Own,,MIL
2025,1,-,via DET,Protected 1-13,MIN
2025,2,-,via UTA,No protections,MIN
2026,1,-,Own,"UTA will receive the most favorable of its 2026 1st round pick, protected for selections 9-30 if UTA does not convey a 1st round pick to OKC in 2025, MIN's 2026 1st round pick and CLE's 2026 1st round pick; MIN will receive the less favorable of its pick and the UTA pick if conveyable; CLE will receive the less favorable of (1) its pick and (2) the more favorable of the MIN pick and the UTA pick if conveyable (if the UTA pick falls within its protected range and is therefore not conveyable, then MIN's and CLE's commitments to UTA will be lifted) (via UTA's right to swap for MIN; via UTA's right to swap UTA or MIN for CLE)",MIN
2026,2,-,"IND, MIA or SAS swap rights",MEM will receive the more favorable of (1) BOS's 2026 2nd round pick and (2) the more favorable of IND's 2026 2nd round pick and MIA's 2026 2nd round pick and BOS will receive the less favorable of (1) and (2); SAS will receive the more favorable of (1) its 2026 2nd round pick and (2) the less favorable of the IND pick and the MIA pick and MIN will receive the less favorable of (1) and (2); MEM may convey the pick it receives to HOU and instead receive LAC if more favorable (see MEM incoming) (via MIA to IND; via MIL to MEM; via MEM' right to swap IND or MIA for BOS; via SAS's right to swap for IND or MIA; via IND to MIN),MIN
2028,1,-,Own,,MIN
2029,2,-,Own,,MIN
2030,1,-,Own,"SAS will receive the most favorable of its 2030 1st round pick, DAL' 2030 1st round pick and MIN's 2030 1st round pick protected for selection 1; DAL will receive the less favorable of its pick and the SAS pick; MIN will receive the less favorable of (1) its pick and (2) the more favorable of the SAS pick and the DAL pick; if the MIN pick falls on its protected selection, then MIN's commitment to SAS will be lifted and SAS will instead have the right to swap its pick for the DAL pick (via SAS's right to swap for DAL; via SAS's right to swap SAS or DAL for MIN)",MIN
2030,2,-,via MEM,Protected 31-50,MIN
2031,2,-,GSW swap rights,,MIN
2025,1,-,via MIL,Protected 5-30,NOP
2025,1,-,Own,,NOP
2026,1,-,MIL swap rights,NOP has the right to swap its 2026 1st round pick for MIL's 2026 1st round pick,NOP
2026,1,-,via IND,Protected 1-4,NOP
2027,1,-,MIL swap rights,"NOP will receive the more favorable of its 2027 1st round pick and MIL's 2027 1st round pick and ATL will receive the less favorable of the two protected for selections 1-4; if this pick falls within its protected range and is therefore not conveyable, then NOP' commitment to ATL will be lifted and NOP will instead receive both picks (via NOP)",NOP
2027,2,-,via CHI,Protected 31-50,NOP
2028,1,-,Own,,NOP
2029,1,-,Own,,NOP
2030,1,-,Own,,NOP
2030,2,-,Own,,NOP
2031,1,-,Own,,NOP
2031,2,-,via TOR,No protections,NOP
2031,2,-,Own,ORL will receive the more favorable of its 2031 2nd round pick and NOP' 2031 2nd round pick and OKC will receive the less favorable of the two (via ORL's right to swap for NOP),NOP
2025,1,-,via WAS,Protected 1-10,NYK
2025,2,-,via DET,Protected 31-55,NYK
2025,2,-,via BOS or MEM,No protections,NYK
2026,1,-,Own,,NYK
2026,2,-,"via DET, MIL or ORL",No protections,NYK
2026,2,-,Own,No protections,NYK
2027,2,-,Own,,NYK
2028,1,-,Own,"if (1) PHI's 2028 1st round pick, which would be protected for selections 1-8 and otherwise conveyable to BKN if PHI does not convey a 1st round pick to BKN in 2027 and if PHI has conveyed a 1st round pick to OKC by 2026, is conveyed to BKN and is the third most favorable of PHI, BKN's 2028 1st round pick, PHX's 2028 1st round pick and NYK's 2028 1st round pick and (2) NYK is the most or second most favorable of the four, then BKN will receive the most and third most favorable of the four; in all other scenarios, BKN will receive the most / two most favorable of these; if PHI if conveyed and / or NYK is less favorable than BKN and PHX, then NYK will receive the least favorable of NYK, BKN and PHX; in all other scenarios, NYK will receive the second most favorable of the three; WAS will receive the more favorable of (1) its 2028 1st round pick and (2) the least / less favorable of PHX, BKN and PHI if conveyed and PHX will receive the less favorable of (1) and (2) (via BKN's right to swap BKN or PHI for PHX; via BKN's right to swap BKN or PHX for NYK; via WAS's right to swap for PHX, BKN or PHI)",NYK
2028,2,-,via BOS,Protected 31-45,NYK
2028,2,-,via IND or PHX,No protections,NYK
2030,1,-,Own,,NYK
2025,1,-,via MIA,Protected 1-14,OKC
2025,1,-,HOU or LAC swap rights,"OKC has the right to swap its 2025 1st round pick for HOU's 2025 1st round pick protected for selections 1-10 or the LAC' 2025 1st round pick; HOU then has the right to swap its pick or the OKC pick to BKN for PHX's 2025 1st round pick; if the HOU pick falls within its protected range, then HOU's commitment to OKC will be lifted and HOU will instead have the right to swap its pick to BKN for the PHX pick",OKC
2025,1,-,via PHI,Protected 1-6,OKC
2025,1,-,via UTA,Protected 1-10,OKC
2025,2,-,via ATL,Protected 31-40,OKC
2026,1,-,Own,,OKC
2026,2,-,DAL or PHI swap rights,No protections,OKC
2027,1,-,LAC swap rights,"OKC has the right to swap its 2027 1st round pick or, if conveyed to OKC, DEN's 2027 1st round pick, which would be protected for selections 1-5 and otherwise conveyable to OKC if DEN conveys a 1st round pick to ORL in 2025, for the LAC' 2027 1st round pick",OKC
2027,1,-,via DEN,Protected 1-5,OKC
2027,2,-,"via HOU, IND and / or MIA",No protections,OKC
2027,2,-,Own,,OKC
2028,1,-,DAL swap rights,OKC has the right to swap its 2028 1st round pick for DAL' 2028 1st round pick,OKC
2028,2,-,via MIL,No protections,OKC
2028,2,-,via UTA,No protections,OKC
2028,2,-,Own,,OKC
2029,1,-,Own,,OKC
2029,1,-,via DEN,"only if and at least two years after DEN conveys a first potential 1st round pick to OKC, then DEN's next potential 1st round pick to OKC protected for selections 1-5 in 2029 and 1-5 in 2030; if DEN has not conveyed this next potential 1st round pick to OKC by 2030, then DEN will instead convey its 2030 2nd round pick to OKC",OKC
2029,2,-,via BOS,No protections,OKC
2029,2,-,via HOU,No protections,OKC
2029,2,-,via MIA,No protections,OKC
2029,2,-,Own,,OKC
2029,2,-,via ATL,No protections,OKC
2030,1,-,Own,,OKC
2030,2,-,via DEN,No protections,OKC
2030,2,-,Own,,OKC
2030,2,-,via MIA,No protections,OKC
2030,2,-,via HOU,No protections,OKC
2031,1,-,Own,,OKC
2031,2,-,ORL or NOP swap rights,ORL will receive the more favorable of its 2031 2nd round pick and NOP' 2031 2nd round pick and OKC will receive the less favorable of the two (via ORL's right to swap for NOP),OKC
2025,1,-,via DEN,Protected 1-5,ORL
2025,1,-,Own,,ORL
2025,2,-,via BOS or MEM,No protections,ORL
2025,2,-,Own,,ORL
2026,1,-,PHX or WAS swap rights,"WAS has the right to swap its 2026 1st round pick, protected for selections 9-30 if WAS does not convey a 1st round pick to NYK in 2025, for PHX's 2026 1st round pick; ORL then has the right to swap its 2026 1st round pick for the less favorable of the PHX pick and the WAS pick if conveyable; MEM then has the right to swap its 2026 1st round pick for the least / less favorable of the PHX pick, the WAS pick if conveyable and the ORL pick; if the WAS pick is not conveyable, then the commitment to WAS will be lifted and ORL will instead have the right to swap its pick for the PHX pick",ORL
2026,2,-,via DET and / or MIL,No protections,ORL
2026,2,-,Own,,ORL
2027,1,-,Own,,ORL
2027,2,-,Own,,ORL
2027,2,-,via BOS,No protections,ORL
2028,1,-,Own,,ORL
2028,2,-,via LAL or WAS,No protections,ORL
2028,2,-,Own,,ORL
2029,1,-,Own,,ORL
2029,2,-,Own,,ORL
2030,1,-,Own,,ORL
2030,2,-,via MIL,No protections,ORL
2030,2,-,NOP swap rights,ORL has the right to swap its 2030 2nd round pick for NOP' 2030 2nd round pick,ORL
2031,1,-,Own,,ORL
2031,2,-,NOP swap rights,ORL will receive the more favorable of its 2031 2nd round pick and NOP' 2031 2nd round pick and OKC will receive the less favorable of the two (via ORL's right to swap for NOP),ORL
2025,2,-,DEN swap rights,No protections,PHI
2026,1,-,"via OKC, HOU or LAC","OKC will receive the two most / more favorable of its 2026 1st round pick, HOU's 2026 1st round pick protected for selections 1-4 and the LAC' 2026 1st round pick and PHI will receive the least / less favorable of these; if the HOU pick falls within its protected range and is therefore not conveyed, then HOU will instead convey its 2026 2nd round pick to OKC",PHI
2026,1,-,Own,,PHI
2027,2,-,Own,,PHI
2028,1,-,Own,,PHI
2028,1,-,via LAC,No protections,PHI
2028,2,-,Own,,PHI
2028,2,-,via DET,Protected 31-55,PHI
2029,1,-,LAC swap rights,"PHI has the right to swap its 2029 1st round pick for the LAC' 2029 1st round pick protected for selections 1-3 (if this pick falls within its protected range and is therefore not conveyable, then the LAC' commitment to PHI will be lifted)",PHI
2029,2,-,Own,,PHI
2030,1,-,Own,,PHI
2030,2,-,Own,,PHI
2031,1,-,Own,,PHI
2031,2,-,Own,,PHI
2025,1,-,Own,"OKC has the right to swap its 2025 1st round pick for HOU's 2025 1st round pick protected for selections 1-10 or the LAC' 2025 1st round pick; HOU then has the right to swap its pick or the OKC pick to BKN for PHX's 2025 1st round pick; if the HOU pick falls within its protected range, then HOU's commitment to OKC will be lifted and HOU will instead have the right to swap its pick to BKN for the PHX pick",PHX
2025,1,-,"via UTA, CLE or MIN","UTA will receive the most / two most favorable of its 2025 1st round pick protected for selections 11-30, CLE's 2025 1st round pick and MIN's 2025 1st round pick and PHX will receive the least / less favorable of these (via CLE and MIN to UTA)",PHX
2025,2,-,via PHI or DEN,No protections,PHX
2026,1,-,Own,"WAS has the right to swap its 2026 1st round pick, protected for selections 9-30 if WAS does not convey a 1st round pick to NYK in 2025, for PHX's 2026 1st round pick; ORL then has the right to swap its 2026 1st round pick for the less favorable of the PHX pick and the WAS pick if conveyable; MEM then has the right to swap its 2026 1st round pick for the least / less favorable of the PHX pick, the WAS pick if conveyable and the ORL pick; if the WAS pick is not conveyable, then the commitment to WAS will be lifted and ORL will instead have the right to swap its pick for the PHX pick",PHX
2027,1,-,"via UTA, CLE or MIN",No protections,PHX
